44826931	4.87	515
31041124	5.24	837
33474392	7.02	690
76925998	9.54	839
36805555	5.42	635
92325846	2.79	176
80485026	2.03	847
82370334	6.44	541
86075846	8.76	708
99256727	1.97	615
51888020	3.05	249
66720920	1.43	197
11821831	3.57	908
95529513	3.40	859
23955620	4.58	163
23602972	8.24	700
99169921	6.44	214
72176106	4.51	326
17711045	3.25	203
40861002	2.77	152
31854926	7.69	451
25067816	5.71	205
15391709	7.30	672
40055338	8.35	890
40391709	4.89	622
32679578	5.33	313
93752712	7.96	398
54329427	7.07	343
79541015	8.67	130
23657226	6.02	786
65869140	6.42	771
25227864	8.68	194
93470594	8.48	235
14659288	5.84	985
23122829	5.46	145
98961046	9.14	321
26931423	7.96	726
43538411	6.02	132
13468424	5.58	132
47162543	8.05	290
62974717	9.61	955
45033094	8.47	175
69870334	4.48	741
37131076	6.61	996
12242295	4.28	424
49582248	7.81	982
69468858	3.93	481
43215603	1.86	408
23274739	7.43	867
63528103	5.51	968
15150282	4.83	904
35443793	6.98	323
27688259	8.39	509
11325412	5.43	474
42285156	3.33	182
14870876	5.54	970
89727105	9.74	454
75816514	9.52	274
31190321	5.17	415
76177300	4.28	382
51784939	5.03	382
39409722	9.12	629
83666992	7.69	644
11404079	2.49	582
23185221	8.92	808
95521375	8.33	491
55246310	2.94	281
57630750	6.42	590
14957682	5.96	778
44273545	3.16	462
23752170	5.39	231
80232747	5.80	791
90066189	4.09	161
52899848	6.74	1000
63557942	4.34	302
38935004	5.10	494
